loss,grad_norm,learning_rate,num_tokens,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,completions/mean_terminated_length,completions/min_terminated_length,completions/max_terminated_length,rewards/syntax_reward/mean,rewards/syntax_reward/std,rewards/correctness_reward/mean,rewards/correctness_reward/std,rewards/speedup_reward/mean,rewards/speedup_reward/std,reward,reward_std,frac_reward_zero_std,entropy,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/high_mean,clip_ratio/high_max,clip_ratio/region_mean,step_time,epoch,step
-0.029846355319023132,0.018297133967280388,1e-06,6192.0,354.0,268.0,512.0,0.25,301.3333435058594,268.0,368.0,0.375,0.5175492167472839,0.375,0.5175492167472839,0.0,0.0,0.75,1.0350983142852783,0.0,0.016718678176403046,0.0,0.0,0.0,0.0,0.0,53.12958046300014,0.00390625,1
0.1362423598766327,0.02860042080283165,9.95e-07,,,,,,,,,,,,,,,,,,0.04448484908789396,0.0,0.0,0.0,0.0,0.0,4.103622515999632,0.0078125,2
0.0,0.0,9.9e-07,18920.0,512.0,512.0,512.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.017223358154296875,0.0,0.0,0.0,0.0,0.0,90.87401928199961,0.01171875,3
0.0,0.0,9.849999999999999e-07,,,,,,,,,,,,,,,,,,0.012025833129882812,0.0,0.0,0.0,0.0,0.0,10.815520116999778,0.015625,4
0.0030738338828086853,0.013218543492257595,9.8e-07,24402.0,266.25,263.0,273.0,0.0,266.25,263.0,273.0,0.5,0.5345224738121033,0.5,0.5345224738121033,0.0,0.0,1.0,1.0690449476242065,0.0,0.02048724377527833,0.0,0.0,0.0,0.0,0.0,28.479286326999954,0.01953125,5
-0.0022228285670280457,0.01834731735289097,9.75e-07,,,,,,,,,,,,,,,,,,0.021759418305009604,0.0,0.0,0.0,0.0,0.0,2.8777951749998465,0.0234375,6
0.36937105655670166,0.029342034831643105,9.7e-07,30855.0,338.625,312.0,512.0,0.125,313.8571472167969,312.0,315.0,0.75,0.4629100561141968,0.75,0.4629100561141968,0.0,0.0,1.5,0.9258201122283936,0.0,0.009870964684523642,0.0,0.0,0.0,0.0,0.0,55.404769922000014,0.02734375,7
-0.24995791912078857,0.005746318958699703,9.649999999999999e-07,,,,,,,,,,,,,,,,,,0.007088152342475951,0.0,0.0,0.0,0.0,0.0,4.021324336999442,0.03125,8
-0.1041920930147171,0.02911621332168579,9.6e-07,37117.0,360.75,270.0,512.0,0.25,310.3333435058594,270.0,372.0,0.5,0.5345224738121033,0.5,0.5345224738121033,-0.18602484464645386,0.34445106983184814,0.8139751553535461,0.9144966006278992,0.0,0.034101922530680895,0.0,0.0,0.0,0.0,0.0,53.66266871699963,0.03515625,9
0.23796460032463074,0.03172338753938675,9.55e-07,,,,,,,,,,,,,,,,,,0.05296858190558851,0.0,0.0,0.0,0.0,0.0,4.328907672000696,0.0390625,10
-0.2321595549583435,0.0096054058521986,9.499999999999999e-07,42743.0,291.25,247.0,512.0,0.125,259.71429443359375,247.0,272.0,0.75,0.4629100561141968,0.75,0.4629100561141968,-0.019549762830138206,0.05529508367180824,1.4804502725601196,0.9153457283973694,0.0,0.01475181756541133,0.0,0.0,0.0,0.0,0.0,52.709142742000495,0.04296875,11
0.41493862867355347,0.031492918729782104,9.45e-07,,,,,,,,,,,,,,,,,,0.014983314089477062,0.0,0.0,0.0,0.0,0.0,4.273456296999939,0.046875,12
0.27422046661376953,0.03635859861969948,9.399999999999999e-07,49103.0,320.0,318.0,328.0,0.0,320.0,318.0,328.0,0.75,0.4629100561141968,0.75,0.4629100561141968,0.0,0.0,1.5,0.9258201122283936,0.0,0.010601363610476255,0.0,0.0,0.0,0.0,0.0,35.80911692900008,0.05078125,13
-0.269156277179718,0.0038391321431845427,9.35e-07,,,,,,,,,,,,,,,,,,0.005115473177284002,0.0,0.0,0.0,0.0,0.0,3.3901459170001544,0.0546875,14
0.12100264430046082,0.01797664165496826,9.3e-07,54512.0,265.125,248.0,288.0,0.0,265.125,248.0,288.0,0.625,0.5175492167472839,0.625,0.5175492167472839,-0.02053990587592125,0.058095626533031464,1.2294601202011108,1.0196040868759155,0.0,0.014884003670886159,0.0,0.0,0.0,0.0,0.0,29.324852351000118,0.05859375,15
-0.1103481724858284,0.019905155524611473,9.25e-07,,,,,,,,,,,,,,,,,,0.01803066022694111,0.0,0.0,0.0,0.0,0.0,3.1001991299999645,0.0625,16
0.1765080988407135,0.050090450793504715,9.2e-07,60089.0,272.125,262.0,274.0,0.0,272.125,262.0,274.0,0.875,0.3535533845424652,0.875,0.3535533845424652,0.0,0.0,1.75,0.7071067690849304,0.0,0.010974506381899118,0.0,0.0,0.0,0.0,0.0,29.220447699999568,0.06640625,17
-0.17797178030014038,0.0037263319827616215,9.15e-07,,,,,,,,,,,,,,,,,,0.006247861310839653,0.0,0.0,0.0,0.0,0.0,3.7501335299998573,0.0703125,18
0.2806827425956726,0.03621721640229225,9.1e-07,65561.0,270.0,231.0,325.0,0.0,270.0,231.0,325.0,0.875,0.3535533845424652,0.875,0.3535533845424652,-0.0532258078455925,0.15054532885551453,1.6967742443084717,0.7016047239303589,0.0,0.019323171814903617,0.0,0.0,0.0,0.0,0.0,33.250420774000304,0.07421875,19
-0.21905668079853058,0.008106166496872902,9.05e-07,,,,,,,,,,,,,,,,,,0.019347455352544785,0.0,0.0,0.0,0.0,0.0,3.023374635999062,0.078125,20
0.004357427358627319,0.02676980197429657,9e-07,70874.0,254.125,215.0,275.0,0.0,254.125,215.0,275.0,0.75,0.4629100561141968,0.75,0.4629100561141968,-0.019549762830138206,0.05529508367180824,1.4804502725601196,0.9153457283973694,0.0,0.014030636753886938,0.0,0.0,0.0,0.0,0.0,28.34945941299975,0.08203125,21
-0.02322062849998474,0.023822490125894547,8.95e-07,,,,,,,,,,,,,,,,,,0.019690557848662138,0.0,0.0,0.0,0.0,0.0,3.0373588739998922,0.0859375,22
0.0,0.0,8.9e-07,83650.0,512.0,512.0,512.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02796173095703125,0.0,0.0,0.0,0.0,0.0,91.75342409000086,0.08984375,23
0.0,0.0,8.85e-07,,,,,,,,,,,,,,,,,,0.029327392578125,0.0,0.0,0.0,0.0,0.0,10.954102478000095,0.09375,24
